Class,Text
2,urgent information required head deptt centre section requested please provide information priority name duration visiting faculty abroad visited iit delhi teaching name duration faculty iit delhi visited abroad teaching basak dy registrar basak dy registrar
2,inspire faculty award session original message subject inspire faculty award session date fellow national academy science india hereby enclosing announcement inspire faculty award session inspire faculty award scheme open assured opportunity research career aorc young researcher age group year shall grateful could encourage suitable candidate apply nominate candidate within stipulated deadline dr alok moitra executive director indian national science academy bahadur shah zafar marg new delhi extn everything count counted everything counted count albert einstein
2,faculty meeting circular faculty please visit following link manchanda
2,election fellow effective desired dean faculty letter received indian national academy engineering gurgaon seen following link kindly send nomination plg nomination committee latest manchanda supdt
2,shanti swarup bhatnagar prize science technology desired dean faculty letter received csir regarding nomination invited nomination invited shanti swarup bhatnagar prize science technology nomination sent plg latest please follow following see letter received csir enclosed herewith ready reference goto internal website click faculty opportunity circular option click faculty award thank manchanda supdt
2,faculty circular desired dean faculty letter received modi measurement pvt ltd launched mahesh modi environment technology award information detail pl visit following link desired dean faculty letter received department chemistry centre advanced study chemistry panjab university chandigarh invited nomination prestigious award panjab university bhagyatara award information detail pl visit following link desired dean faculty letter received national institute advanced study regarding nomination one senior scientist officer atleast year experience course mentioned link information detail pl visit following link manchanda supdt
2,faculty circular faculty office dean faculty desired dean faculty letter received engineer conclave jointly organized inae isro tata auditorium iisc bangalore information detail pl visit following link desired dean faculty letter received international journal leadership change ijlc call paper information necessary action detail pl visit following link desired dean faculty letter received mhrd holding national international seminar conference workshop etc information detail pl visit following link manchanda supdt
2,nomination national symposium intelligent lighting faculty please visit following link manchanda
2,post director national institute technical desired dean faculty circular inviting nomination post director national institute technical teacher training research nitttr chennai director central manufacturing technology institute bangalore provided following link interested eligible candidate kindly send nomination plg planning unit latest manchanda supdt
2,cancelled interaction mr sachin pilot minister state independent charge ministry corporate affair goi 75 yi volunteer week celebration hr ihc new delhi formally inform interaction mr sachin pilot minister state event planned hr silver oak ihc cancelled due pre occupation minister senior dignitary formally informed late evening yesterday today thanks support patience accept apology informing closer date pragya member young indian delhi chapter organizing horn ok please campaign held hr sliver oak india habitat centre lodhi road new delhi campaign aim create awareness noise pollution communicate citizen delhi avoid incessant honking yi integral part confederation indian industry cii non government profit industry led industry managed organisation playing proactive role india development process yi formed year objective creating platform young indian realise dream developed nation please visit www youngindians net detail national organize national volunteer week nvw across city state india path breaking initiative envision india year independence late prof ck prahalad renowned management guru indian origin spent large amount time lifetime cause inspiration behind initiative mr sachin pilot minister state independent charge ministry corporate affair government india given consent address session inaugurate campaign mr arun maira member planning commission government secretary ministry youth affair sport government india also invited writing cordially invite participate session along colleague would agree u session organized social cause mind help u spreading awareness amongst people delhi kindly confirm participation attached reply form looking forward meeting kavita kavita kohli director delhi state office confederation indian industry ig building institutional area lodhi road new delhi receiving email relationship sender safely unsubscribe modify subscription setting please
2,faculty circular faculty please visit following link nomination sent ar plg fir link given manchanda
2,european higher education fair india faculty desired dean faculty letter received european higher education fair india attached herewith information pl information pl visit following link manchanda supdt
2,inviting nomination senior scientist platinum jubilee faculty letter received nasi inviting nomination senior scientist platinum jubilee fellowship information necessary action pl detail pl visit following link manchanda m
2,nomination search cum selection com noit desired dean faculty letter received ministry earth science attached herewith necessary action kindly send nomination plg nomination committee manchanda supdt
2,proposed day workshop leadership iitdaa plan one day workshop leadership self discovery director desired check interest faculty workshop finally deciding hold workshop iit delhi please needful atul vyas original message subject proposed day workshop leadership self discovery date atul ji thank much call brief action required advised please find flyer communication day workshop meant iit delhi faculty staff pg student research scholar spouse people participate one time enjoy day together minimum people recommended held seminar hall vishwakarma bhavan auditorium conducted day workshop alumnus family ngo send communication per director advice let u see many show interest attending interactive interesting empowering workshop leadership self discovery please let know response accordingly plan workshop convenient date convey warm director sushil jain behalf iitdaa i2gi group one day workshop leadership self discovery proposed iit delhi faculty staff pg student research scholar spouse school teacher held convenient date date venue shall announced later knowing interest response communication also use following link register response organized workshop iitdaa initiative governance improvement i2gi society outreach subcommittee i2gi group iitd alumnus working area almost year part larger effort called eesi empower enable serve inspire objective provide opportunity self explore discover self aware live harmony awaken true leadership within everyone u workshop also offered time time alumnus student ngo govt official school teacher etc content benefit self exploration simple powerful process understanding discovering self creates essential awareness co existence existence larger beyond goal true leadership others getting inspired right understanding feeling self belief pursuing larger goal impact life many valuable empowering workshop brings leadership within enhances level happiness quality relationship creates possibility achieving individual society goal happiness prosperity based foundation course human value professional ethic introduced essential audit credit course several technical university india since amazing result conducted form dialog free value prescription t simple question proposal universal principle life placed exploration evaluation discussion one right preaching do t methodology simple systematic scientific self exploratory highly interactive interesting help clarity leadership process self discovery power creating harmony four level living within self within within society rest existence primary goal human being outcome include ability self manage situation improved relationship within work outside better team work creativity efficiency clarity leadership process comprehensive human goal open possibility mutual happiness prosperity facilitator sushil jain rajbir singh gopal babu iitd alumnus note date venue announced later
